5000 14991
0 1 71
0 2 46
0 3 23
0 4 92
0 6 89
0 11 11
0 16 11
0 17 55
0 31 78
0 35 2
0 49 59
0 69 20
0 115 37
0 119 8
0 128 63
0 131 34
0 287 76
0 288 38
0 318 47
0 341 71
0 407 93
0 442 80
0 500 53
0 515 74
0 577 74
0 583 53
0 711 2
0 1015 29
0 1080 40
0 1392 46
0 1502 88
0 1582 52
0 1751 61
0 1781 59
0 1832 35
0 1887 62
0 1983 35
0 1985 83
0 1993 67
0 2182 62
0 2277 7
0 2383 65
0 2495 99
0 2516 10
0 2869 69
0 2921 54
0 3239 80
0 3304 43
0 3793 33
0 3879 100
0 3933 30
0 4114 3
0 4178 14
0 4304 97
0 4420 42
0 4547 15
0 4612 53
0 4678 48
0 4720 33
0 4749 78
0 4809 48
0 4877 25
1 4 90
1 5 99
1 9 36
1 10 4
1 11 94
1 12 63
1 14 58
1 19 88
1 20 45
1 24 48
1 33 60
1 74 41
1 87 43
1 90 66
1 110 97
1 130 36
1 167 42
1 180 100
1 186 91
1 248 26
1 250 84
1 277 73
1 301 98
1 369 20
1 386 49
1 437 2
1 524 83
1 548 1
1 578 24
1 600 76
1 700 21
1 902 11
1 953 79
1 973 61
1 1056 86
1 1109 95
1 1201 5
1 1275 36
1 1308 80
1 1412 40
1 1509 16
1 1516 76
1 1548 54
1 1594 97
1 1730 34
1 1839 63
1 1846 45
1 1880 95
1 1894 18
1 1916 7
1 1962 40
1 1969 88
1 1990 100
1 2058 25
1 2159 82
1 2175 12
1 2362 80
1 2487 29
1 2495 60
1 2499 79
1 2511 89
1 2612 77
1 2678 65
1 2771 10
1 2837 20
1 2897 92
1 2929 48
1 2987 69
1 3005 99
1 3185 91
1 3233 24
1 3326 100
1 3495 81
1 3595 26
1 3656 52
1 3792 6
1 3942 74
1 3984 9
1 4094 24
1 4104 5
1 4348 14
1 4559 33
1 4891 96
1 4991 46
2 7 8
2 21 10
2 90 40
2 107 29
2 1527 14
2 2695 30
3 4 56
3 5 26
3 22 33
3 42 30
3 44 23
3 48 98
3 78 98
3 137 92
3 141 50
3 185 91
3 224 30
3 249 82
3 277 60
3 286 91
3 351 91
3 385 17
3 491 57
3 502 86
3 572 58
3 607 77
3 652 75
3 776 42
3 825 91
3 866 15
3 882 56
3 890 57
3 904 55
3 953 18
3 958 99
3 1014 41
3 1198 25
3 1207 33
3 1226 33
3 1349 96
3 1425 13
3 1475 31
3 1494 1
3 1582 8
3 1629 28
3 1728 51
3 1775 43
3 1877 4
3 2010 30
3 2060 57
3 2428 75
3 2656 2
3 2671 25
3 2674 29
3 2791 37
3 2845 87
3 2865 17
3 2879 64
3 2901 71
3 3006 26
3 3127 89
3 3189 86
3 3252 6
3 3752 71
3 3912 58
3 3955 5
3 4303 80
3 4429 90
3 4484 27
3 4691 14
3 4721 78
3 4756 76
3 4760 62
3 4957 25
4 5 90
4 6 23
4 7 28
4 8 3
4 9 28
4 10 20
4 13 64
4 17 1
4 18 88
4 19 16
4 21 25
4 29 38
4 34 9
4 35 92
4 37 8
4 39 4
4 41 62
4 42 61
4 44 90
4 58 95
4 63 78
4 65 91
4 69 96
4 70 86
4 71 81
4 72 91
4 74 34
4 77 26
4 78 18
4 90 26
4 103 68
4 105 86
4 106 37
4 109 76
4 114 90
4 121 82
4 130 65
4 137 49
4 147 18
4 168 86
4 171 4
4 188 77
4 193 85
4 215 34
4 225 34
4 227 87
4 234 88
4 246 17
4 263 77
4 287 26
4 295 78
4 297 41
4 304 32
4 315 17
4 316 20
4 328 7
4 345 6
4 371 53
4 378 76
4 425 9
4 433 40
4 451 74
4 475 22
4 476 90
4 482 15
4 484 67
4 496 28
4 512 83
4 516 81
4 584 43
4 597 64
4 617 92
4 634 45
4 643 96
4 663 69
4 682 52
4 689 45
4 704 41
4 712 7
4 721 42
4 726 72
4 747 64
4 781 87
4 791 32
4 831 4
4 834 3
4 859 51
4 864 35
4 865 55
4 867 40
4 948 1
4 977 91
4 980 28
4 992 79
4 1018 53
4 1057 63
4 1144 75
4 1153 59
4 1166 88
4 1187 19
4 1190 28
4 1213 91
4 1221 61
4 1225 81
4 1233 54
4 1238 27
4 1241 3
4 1271 17
4 1343 100
4 1372 5
4 1396 4
4 1423 46
4 1429 15
4 1450 84
4 1468 11
4 1471 100
4 1489 92
4 1544 30
4 1551 43
4 1596 92
4 1615 30
4 1678 4
4 1684 22
4 1741 20
4 1749 49
4 1759 26
4 1821 62
4 1840 78
4 1885 86
4 1933 78
4 2010 44
4 2081 30
4 2113 60
4 2115 72
4 2122 74
4 2192 27
4 2277 42
4 2294 71
4 2301 52
4 2359 73
4 2384 86
4 2391 8
4 2394 91
4 2427 81
4 2441 75
4 2483 43
4 2501 96
4 2540 35
4 2557 50
4 2571 28
4 2619 88
4 2625 57
4 2658 24
4 2700 43
4 2703 38
4 2725 17
4 2744 18
4 2788 26
4 2842 80
4 2927 3
4 2968 4
4 2977 43
4 2999 21
4 3009 41
4 3062 70
4 3080 16
4 3088 90
4 3103 57
4 3126 10
4 3151 43
4 3298 10
4 3306 80
4 3307 34
4 3324 19
4 3345 59
4 3378 100
4 3385 15
4 3387 40
4 3497 63
4 3530 70
4 3550 77
4 3551 61
4 3591 5
4 3645 92
4 3652 9
4 3775 45
4 3864 37
4 3865 48
4 4000 75
4 4019 43
4 4023 74
4 4054 56
4 4057 52
4 4093 46
4 4157 40
4 4160 19
4 4260 69
4 4285 85
4 4291 1
4 4307 88
4 4334 74
4 4360 31
4 4397 41
4 4426 82
4 4564 4
4 4575 100
4 4620 66
4 4633 99
4 4640 40
4 4730 4
4 4896 99
4 4945 61
4 4959 29
4 4994 67
5 6 33
5 7 17
5 8 37
5 9 28
5 14 89
5 18 31
5 19 38
5 22 20
5 23 96
5 30 96
5 31 24
5 35 75
5 36 9
5 40 88
5 45 59
5 51 40
5 52 79
5 55 58
5 73 58
5 77 37
5 80 80
5 81 10
5 84 94
5 87 2
5 101 100
5 103 100
5 108 10
5 123 32
5 133 70
5 136 18
5 140 40
5 151 48
5 155 72
5 197 98
5 231 1
5 236 16
5 238 14
5 246 85
5 268 91
5 282 77
5 294 24
5 300 64
5 305 84
5 306 44
5 319 5
5 326 32
5 339 77
5 351 51
5 388 91
5 390 1
5 394 41
5 403 68
5 405 6
5 410 93
5 415 72
5 428 66
5 459 93
5 510 78
5 543 18
5 551 30
5 566 47
5 579 74
5 650 76
5 666 85
5 685 10
5 690 22
5 719 17
5 724 73
5 739 96
5 771 27
5 807 20
5 819 79
5 823 68
5 878 73
5 895 61
5 903 59
5 924 72
5 953 52
5 959 10
5 963 16
5 972 95
5 1005 7
5 1024 32
5 1032 81
5 1040 30
5 1048 94
5 1056 37
5 1070 5
5 1075 10
5 1115 66
5 1124 48
5 1145 4
5 1173 66
5 1217 58
5 1242 87
5 1246 39
5 1266 57
5 1300 51
5 1306 50
5 1308 44
5 1309 49
5 1329 49
5 1338 97
5 1340 37
5 1358 11
5 1364 75
5 1382 18
5 1384 98
5 1477 18
5 1478 13
5 1483 7
5 1508 36
5 1521 91
5 1536 90
5 1599 86
5 1650 59
5 1727 100
5 1777 94
5 1848 13
5 1863 52
5 1891 6
5 1895 70
5 1905 11
5 2007 74
5 2036 44
5 2044 26
5 2076 40
5 2079 89
5 2084 18
5 2111 52
5 2180 100
5 2187 100
5 2232 78
5 2244 55
5 2356 17
5 2370 7
5 2445 20
5 2487 77
5 2576 93
5 2672 88
5 2746 39
5 2866 47
5 2880 36
5 2883 14
5 3006 78
5 3175 29
5 3207 86
5 3284 40
5 3380 92
5 3400 32
5 3420 43
5 3432 80
5 3442 69
5 3454 79
5 3530 21
5 3657 2
5 3668 28
5 3674 29
5 3689 75
5 3692 41
5 3700 9
5 3863 60
5 4061 13
5 4124 16
5 4220 10
5 4277 63
5 4320 99
5 4385 36
5 4420 76
5 4431 90
5 4437 80
5 4515 79
5 4562 90
5 4732 24
5 4808 75
5 4913 14
6 8 45
6 10 54
6 41 16
6 66 37
6 72 33
6 106 39
6 112 95
6 118 43
6 128 42
6 130 40
6 139 67
6 214 1
6 223 72
6 306 92
6 445 13
6 501 40
6 657 44
6 723 74
6 825 66
6 869 71
6 875 84
6 898 89
6 958 88
6 976 40
6 1036 63
6 1108 95
6 1214 99
6 1220 90
6 1247 94
6 1335 99
6 1400 54
6 1526 82
6 1586 59
6 1714 81
6 1734 1
6 1834 16
6 1907 56
6 2074 2
6 2108 69
6 2110 76
6 2147 79
6 2306 32
6 2374 62
6 2401 27
6 2699 23
6 2729 85
6 2750 94
6 2898 59
6 3063 45
6 3079 30
6 3109 27
6 3125 11
6 3295 18
6 3715 88
6 3944 44
6 3953 82
6 3955 86
6 4199 4
6 4210 6
6 4212 47
6 4238 71
6 4350 88
6 4443 54
6 4629 97
6 4713 45
6 4849 77
7 16 39
7 25 16
7 42 81
7 43 45
7 47 53
7 50 27
7 71 90
7 80 48
7 107 8
7 147 17
7 156 71
7 174 84
7 201 4
7 217 63
7 247 53
7 322 90
7 349 96
7 374 25
7 375 42
7 420 48
7 463 69
7 467 34
7 512 23
7 555 50
7 596 85
7 646 96
7 664 20
7 754 99
7 759 67
7 765 15
7 815 29
7 970 53
7 988 38
7 1036 73
7 1115 81
7 1148 35
7 1323 58
7 1339 45
7 1353 5
7 1355 13
7 1437 64
7 1461 34
7 1640 75
7 1689 78
7 1704 32
7 1719 54
7 1746 70
7 1884 29
7 1917 74
7 2003 88
7 2031 90
7 2077 10
7 2242 40
7 2270 83
7 2297 100
7 2426 38
7 2516 21
7 2623 30
7 2627 5
7 2738 63
7 2764 100
7 2957 62
7 3275 51
7 3374 92
7 3449 84
7 3551 99
7 3570 80
7 3687 71
7 3714 21
7 3723 92
7 3813 61
7 3900 57
7 4011 70
7 4075 99
7 4086 88
7 4150 76
7 4357 79
7 4365 61
7 4607 18
7 4678 84
7 4723 70
7 4897 42
7 4911 99
7 4990 38
8 12 7
8 13 98
8 30 78
8 53 73
8 54 60
8 57 64
8 83 91
8 131 41
8 139 23
8 172 84
8 186 27
8 239 91
8 269 67
8 441 78
8 507 93
8 612 6
8 703 33
8 747 15
8 758 54
8 762 68
8 780 55
8 786 88
8 978 10
8 1134 36
8 1150 93
8 1186 85
8 1196 61
8 1237 30
8 1245 60
8 1298 59
8 1311 50
8 1500 16
8 1511 14
8 1668 14
8 1679 9
8 1758 67
8 1814 86
8 1847 90
8 2053 15
8 2174 71
8 2276 82
8 2334 22
8 2458 25
8 2658 5
8 2739 9
8 2920 6
8 3160 6
8 3406 41
8 3422 32
8 3513 15
8 3525 21
8 3557 45
8 3587 99
8 3698 11
8 3699 71
8 3965 100
8 3996 68
8 4027 47
8 4146 3
8 4170 98
8 4389 65
8 4424 58
8 4483 37
8 4573 64
8 4651 12
8 4855 69
9 11 42
9 12 85
9 15 84
9 20 15
9 22 33
9 27 11
9 28 77
9 29 27
9 31 79
9 32 66
9 39 68
9 40 25
9 50 67
9 54 43
9 64 99
9 67 61
9 68 71
9 79 32
9 86 81
9 87 36
9 89 13
9 92 21
9 107 21
9 125 23
9 128 20
9 144 97
9 146 86
9 177 26
9 182 22
9 184 87
9 192 8
9 198 43
9 200 74
9 204 75
9 218 74
9 229 55
9 239 1
9 243 41
9 255 17
9 264 33
9 283 59
9 288 26
9 289 67
9 319 72
9 329 84
9 334 55
9 338 7
9 350 88
9 353 90
9 356 73
9 359 54
9 364 58
9 371 9
9 399 74
9 406 56
9 431 97
9 438 69
9 448 7
9 449 76
9 460 52
9 483 28
9 493 38
9 513 56
9 528 37
9 546 65
