500 1000
0 1 1
0 499 46
0 2 75
0 498 30
0 50 29
1 2 24
1 3 25
1 499 79
2 3 81
2 64 75
3 5 53
3 314 10
4 5 56
4 6 18
5 6 39
5 354 75
5 103 54
6 7 42
6 8 75
7 8 59
7 9 9
7 265 93
7 327 77
8 9 37
8 10 25
9 10 40
9 11 60
10 11 98
10 308 95
11 12 27
11 13 81
11 138 97
11 180 46
12 13 28
12 14 23
13 14 29
13 251 94
14 15 45
14 16 60
15 300 90
15 450 4
16 17 69
16 18 94
16 159 66
17 18 91
17 19 93
18 19 6
18 225 27
18 56 15
19 21 11
19 408 26
20 22 64
20 143 78
20 29 83
21 22 59
21 23 62
22 24 93
22 87 27
23 24 78
23 240 28
24 25 44
24 76 53
25 26 97
25 27 84
26 27 89
26 28 97
27 28 26
27 29 20
28 29 89
28 30 20
29 30 4
30 31 95
30 32 80
30 128 20
31 37 8
31 157 10
32 34 62
32 57 44
33 34 58
33 35 78
33 447 12
34 35 13
34 36 70
35 37 97
35 476 28
36 37 36
36 38 49
36 112 34
36 375 40
36 464 50
37 39 18
37 390 49
38 39 65
38 40 83
38 54 50
38 335 26
38 492 52
39 40 84
39 41 36
40 41 20
40 42 59
41 43 12
41 208 40
42 43 80
42 44 57
42 333 96
43 44 52
43 45 79
44 45 4
44 46 77
45 46 86
45 47 52
46 48 73
46 208 93
47 48 9
47 49 35
48 49 61
48 50 52
48 305 12
49 50 89
49 51 37
50 52 3
50 375 39
50 383 2
51 53 12
51 408 19
51 74 7
52 54 11
52 91 84
52 322 48
53 54 7
53 488 8
54 55 52
54 123 59
55 56 78
55 57 29
56 57 39
57 58 74
57 59 11
58 59 82
58 60 5
59 61 82
59 305 23
60 61 66
60 327 79
61 62 43
61 82 55
62 63 73
62 64 15
63 64 100
63 65 80
64 65 66
64 66 45
65 66 70
65 67 1
66 67 43
66 229 7
67 68 99
67 69 5
68 70 67
68 257 91
69 70 77
69 71 46
70 71 40
70 72 18
71 72 82
71 73 85
72 73 27
72 74 2
73 74 4
73 75 75
74 76 49
74 243 55
75 76 23
75 202 70
76 77 11
76 297 27
77 78 24
77 79 42
78 79 64
78 80 60
78 181 91
78 204 8
79 80 99
79 81 96
79 119 80
79 262 44
80 81 68
80 82 86
81 83 4
81 451 20
82 83 43
82 84 38
83 84 25
83 351 69
83 230 77
84 86 82
84 127 65
85 86 35
85 87 12
86 87 33
86 88 3
87 88 97
87 89 36
87 389 74
88 89 35
88 90 70
88 114 74
88 206 27
89 90 7
89 91 61
90 91 10
90 92 85
91 92 63
91 196 48
92 93 8
92 94 10
92 337 14
92 359 98
93 448 39
93 197 94
94 95 58
94 96 43
95 96 14
95 97 81
95 370 34
96 97 71
96 497 84
97 98 31
97 99 23
98 99 69
98 100 40
99 101 7
99 331 60
100 102 56
100 352 64
101 102 21
101 103 48
102 103 93
102 104 73
102 140 69
102 218 49
103 104 29
103 255 68
104 444 76
104 208 58
104 282 11
104 304 59
104 345 80
105 106 23
105 107 10
105 244 62
106 107 40
106 108 88
106 349 25
107 109 65
107 426 4
108 109 87
108 110 66
109 110 58
109 111 28
110 111 20
110 112 48
110 260 43
110 269 11
111 112 30
111 113 84
112 113 2
113 114 21
113 115 97
114 115 52
114 238 48
115 116 87
115 117 83
115 423 38
116 118 2
116 430 69
117 118 69
117 119 23
118 119 74
118 120 35
119 121 39
120 121 75
120 122 18
121 122 10
121 123 15
122 124 81
122 465 33
123 125 54
123 317 89
124 125 73
124 201 10
125 126 46
125 127 59
126 127 61
126 128 68
126 418 17
127 128 34
127 129 20
128 129 19
129 131 81
129 221 37
130 132 96
130 315 39
131 132 58
131 133 24
132 133 52
132 134 21
133 134 75
133 135 22
134 135 76
134 136 22
134 411 65
135 136 3
135 137 38
135 442 92
136 137 47
136 138 62
137 139 77
137 203 83
137 193 60
138 139 51
139 140 6
139 141 85
140 142 63
141 142 8
141 143 88
141 471 68
142 143 74
142 144 47
143 144 75
143 145 5
144 145 95
144 146 75
145 147 58
145 327 90
146 147 61
146 148 32
147 148 3
147 149 42
147 283 99
148 149 63
148 150 16
149 150 77
149 151 78
150 151 38
150 152 45
150 409 55
150 461 88
151 153 10
151 197 56
151 384 4
152 153 94
152 280 30
152 496 94
153 154 56
153 155 53
154 155 91
154 156 58
155 157 24
155 343 19
156 158 100
156 180 91
157 158 89
157 228 55
158 159 76
158 160 64
158 376 56
158 231 52
159 161 55
159 172 56
160 161 79
160 162 69
161 162 79
161 163 33
162 163 14
162 164 76
163 164 90
163 165 57
164 328 39
164 331 18
165 166 97
165 167 49
166 167 6
166 168 18
167 168 98
167 189 1
168 169 77
168 170 9
169 170 29
169 171 39
169 401 38
170 171 17
170 172 85
171 172 32
171 173 30
171 197 16
172 174 85
173 174 14
173 175 38
174 176 87
174 472 84
175 176 54
175 177 52
176 177 88
176 178 78
177 178 16
177 179 88
178 180 6
178 303 39
179 180 49
179 181 11
180 181 91
181 389 69
182 183 100
182 184 18
183 184 79
183 185 70
184 223 45
184 489 1
185 186 80
185 187 51
186 187 26
186 188 65
187 188 71
187 189 43
188 189 57
188 190 13
189 190 45
189 227 5
189 384 66
190 191 52
190 192 64
191 192 49
191 193 10
192 193 94
192 194 38
193 478 97
194 195 96
194 196 27
195 196 51
195 197 35
195 404 70
196 197 10
196 198 67
197 199 45
198 329 18
198 395 25
198 258 66
199 200 31
199 404 98
200 201 66
200 202 96
201 202 98
201 203 25
202 203 8
202 204 41
203 204 20
203 205 87
204 206 46
204 389 28
205 206 49
205 207 36
206 207 48
207 208 94
207 209 78
207 332 49
207 387 76
207 478 48
208 209 88
208 210 77
209 210 73
209 211 37
209 339 53
210 211 46
210 212 62
210 433 70
211 212 69
211 213 42
212 213 96
212 214 13
212 302 35
213 214 63
213 215 81
214 215 1
214 256 60
214 490 54
215 216 52
215 221 14
215 307 92
215 219 35
215 363 86
216 217 56
216 225 33
217 219 23
217 249 91
218 220 31
219 220 60
219 226 59
220 221 14
220 222 16
221 223 54
222 223 79
222 224 48
223 224 22
223 225 61
224 225 9
224 226 55
224 274 72
225 226 59
225 227 38
226 227 96
226 228 29
226 385 42
227 228 56
227 229 25
228 229 23
228 230 11
229 230 95
229 231 6
230 231 43
230 493 4
231 232 28
231 467 2
232 233 84
232 234 61
232 435 37
233 234 8
233 235 28
233 316 34
234 235 46
234 236 88
234 350 11
235 236 87
235 237 85
235 293 4
236 237 100
236 238 3
237 238 81
237 239 45
238 239 45
239 240 50
239 241 32
240 242 66
240 339 58
240 460 60
241 242 82
241 243 23
242 243 18
242 244 92
243 245 17
243 469 36
244 246 72
244 357 40
245 246 84
245 247 1
246 247 1
246 248 97
247 248 97
247 249 32
247 436 30
248 249 78
248 261 54
249 250 86
249 251 97
250 251 81
250 252 24
251 252 5
251 253 70
252 384 68
252 423 21
253 254 49
253 255 87
254 255 6
254 256 13
255 256 28
256 257 43
256 258 9
257 258 66
257 487 87
258 259 18
258 260 22
258 440 47
259 260 15
259 261 63
260 378 98
261 262 34
261 263 92
261 451 55
262 264 14
263 264 64
263 265 8
264 265 32
264 465 41
264 361 88
265 267 96
266 267 24
266 268 2
267 268 70
267 269 53
268 269 42
268 270 7
269 276 87
270 271 89
270 272 50
270 454 6
271 272 87
271 273 71
272 273 35
272 274 72
273 275 31
273 443 31
274 275 83
275 276 91
275 277 100
276 277 81
276 278 35
277 278 44
277 279 74
278 279 39
278 280 34
279 280 12
279 281 31
280 281 89
280 282 90
281 282 78
281 283 86
282 283 15
282 441 49
283 285 21
284 285 84
284 286 95
285 286 49
285 287 100
286 287 64
286 288 64
287 288 75
287 289 60
288 289 31
288 438 43
289 290 27
289 291 38
290 291 22
290 292 8
291 292 55
291 293 52
291 378 73
292 293 50
292 294 10
293 294 71
294 295 42
294 296 41
295 296 42
295 297 100
296 297 80
296 298 42
297 298 14
297 299 22
298 299 10
298 300 39
299 300 36
299 301 31
300 301 60
300 302 98
301 303 33
301 482 16
302 303 21
302 356 59
303 304 74
303 305 84
304 305 10
305 306 76
306 308 40
306 360 27
307 309 91
308 310 38
308 490 30
309 310 46
309 311 42
310 311 40
310 312 67
311 312 92
311 313 11
312 313 45
312 314 87
313 314 29
313 315 24
314 315 100
314 316 53
315 316 30
315 317 1
316 317 81
317 319 6
318 319 58
318 320 88
318 370 44
319 320 88
319 321 66
320 321 6
320 322 18
321 322 87
321 323 88
322 323 84
323 324 32
323 325 9
324 325 79
324 326 43
324 429 83
325 326 98
325 327 33
326 327 29
326 328 3
327 328 95
328 329 25
328 330 89
329 330 65
329 331 4
330 331 13
330 332 61
331 332 74
331 333 55
331 398 76
332 334 3
333 334 73
334 335 50
334 336 28
335 336 62
336 337 49
336 338 100
337 338 37
338 339 52
338 340 48
339 340 74
339 486 19
340 341 85
340 342 81
340 442 24
341 342 86
341 343 62
342 343 45
342 344 45
342 444 71
343 344 49
343 345 29
344 345 15
344 346 81
345 346 28
346 347 8
346 348 25
347 348 80
347 349 27
348 349 72
348 350 87
349 350 72
350 351 54
351 353 60
352 354 21
352 480 71
353 354 67
353 355 47
353 414 2
354 355 40
354 356 8
355 356 43
355 357 81
356 357 66
357 358 81
358 359 34
358 360 38
359 360 88
360 361 47
360 362 43
361 362 34
361 363 69
362 363 75
362 364 50
363 364 68
363 413 92
364 365 72
364 469 50
365 366 100
365 367 91
366 367 51
366 368 51
367 368 93
367 369 66
368 369 41
368 370 46
369 370 84
369 371 9
371 372 55
371 373 87
372 373 92
372 374 88
372 394 53
373 374 59
373 375 40
374 375 86
374 376 15
376 378 31
377 378 47
377 379 63
378 379 43
379 380 39
379 381 50
380 382 61
380 449 63
381 382 41
381 383 57
382 383 34
382 384 31
383 385 88
385 387 61
385 431 34
385 497 47
386 387 50
386 388 2
387 389 26
388 389 25
388 390 25
390 391 62
390 392 71
391 392 11
391 393 40
392 393 80
392 394 94
393 394 83
393 395 21
394 395 83
395 397 30
396 397 10
396 398 33
397 398 2
397 399 98
398 400 3
399 400 92
399 401 1
400 401 48
400 402 53
401 402 23
402 403 19
402 404 79
403 404 67
403 405 53
404 405 72
405 406 8
405 407 44
406 407 36
406 408 60
407 409 95
407 477 56
408 409 85
408 410 79
409 411 5
410 412 37
410 485 57
411 413 76
412 413 76
412 414 62
413 414 89
413 445 53
414 416 54
415 416 7
415 417 90
416 417 36
416 418 12
417 419 70
417 424 40
417 456 27
418 420 94
418 486 49
419 420 33
419 421 31
420 421 70
420 422 94
421 422 8
421 423 74
422 423 84
422 424 59
423 424 33
424 425 55
424 426 94
425 426 11
425 427 75
426 427 6
426 428 97
427 428 72
427 429 28
428 429 51
428 430 19
428 479 46
429 430 51
430 431 84
430 432 5
431 433 12
432 433 37
432 434 28
433 435 17
434 435 58
434 436 94
435 437 61
436 438 3
437 438 91
437 439 59
438 439 33
438 440 76
439 440 82
439 441 62
440 442 27
441 442 46
443 444 30
443 445 84
444 446 5
445 447 95
446 447 8
446 448 16
447 449 46
448 449 65
448 450 12
449 450 15
449 451 26
450 451 16
450 452 73
451 453 94
452 453 26
452 454 1
453 454 62
453 455 65
454 455 21
455 456 29
455 457 15
456 457 15
457 458 23
457 459 86
458 459 16
458 460 1
459 460 79
459 461 92
460 462 15
461 463 7
462 463 27
462 464 92
463 464 79
463 465 16
464 465 81
465 467 2
466 467 55
466 468 98
467 468 30
468 469 75
468 470 100
469 470 7
470 471 55
470 472 45
471 472 24
472 473 24
472 474 28
473 474 58
473 475 78
474 475 67
474 476 64
475 476 23
475 477 48
476 477 17
476 478 99
477 478 22
477 479 78
478 479 29
479 481 29
480 481 19
480 482 6
481 482 32
481 483 43
482 483 86
482 484 86
483 484 18
483 485 42
484 485 22
484 486 36
485 486 13
485 487 65
487 488 88
487 489 77
488 489 48
488 490 99
489 490 19
489 491 18
490 491 28
491 492 72
491 493 25
492 493 65
493 494 6
493 495 57
494 495 13
494 496 74
495 496 98
495 497 62
496 497 8
497 498 80
498 499 96
